ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
44,149,483650,달바글로벌,기타 화학제품 제조업,2.4707,147500.0,197900.0,34.16949152542372,2.168301497160563
45,160,073240,금호타이어,고무제품 제조업,2.2406,5860.0,7800.0,33.10580204778157,62.839248434238
46,197,229640,LS에코에너지,기타 금융업,1.4042,34550.0,45850.0,32.70622286541245,-25.568181818181824
47,87,267270,HD건설기계,특수 목적용 기계 제조업,6.2442,98400.0,130300.0,32.41869918699187,-8.625525946704071
48,91,001440,대한전선,절연선 및 케이블 제조업,5.9288,22900.0,30250.0,32.09606986899563,-20.079260237780716
49,57,272210,한화시스템,전자부품 제조업,13.5455,54400.0,71700.0,31.801470588235304,-25.312500000000004
50,130,009420,한올바이오파마,의약품 제조업,2.9986,43750.0,57400.0,31.200000000000006,11.456310679611658
51,18,012330,현대모비스,자동차 신품 부품 제조업,44.2775,373000.0,488000.0,30.831099195710454,-19.60461285008237
52,26,000810,삼성화재,보험업,28.9316,497000.0,648000.0,30.382293762575465,-0.917431192660545
53,144,005850,에스엘,자동차 신품 부품 제조업,2.5872,42850.0,55700.0,29.98833138856476,-17.725258493353024
54,187,001800,오리온홀딩스,기타 금융업,1.6122,20650.0,26800.0,29.782082324455207,3.474903474903468
55,98,271560,오리온,기타 식품 제조업,5.4194,105700.0,137100.0,29.706717123935668,1.1808118081180874
56,163,007070,GS리테일,종합 소매업,2.1696,20100.0,25950.0,29.104477611940304,5.702647657841142
57,96,009830,한화솔루션,기초 화학물질 제조업,5.4834,25278.0,31900.0,26.196692776327236,-8.595988538681954
58,54,047810,한국항공우주,"항공기,우주선 및 부품 제조업",14.0657,114400.0,144300.0,26.136363636363647,2.4130589070262554
59,51,003550,LG,기타 금융업,15.3158,80700.0,101300.0,25.526641883519208,-4.882629107981218
60,186,120110,코오롱인더,화학섬유 제조업,1.674,44850.0,55900.0,24.63768115942029,-24.25474254742548
61,122,001450,현대해상,보험업,3.2522,30800.0,38150.0,23.863636363636353,-2.8025477707006363
62,99,036570,NC,소프트웨어 개발 및 공급업,5.3537,201500.0,248500.0,23.325062034739453,-5.513307984790872
63,72,161390,한국타이어앤테크놀로지,고무제품 제조업,8.8571,58300.0,71500.0,22.64150943396226,-0.694444444444442
64,43,033780,KT&G,담배 제조업,18.0111,142100.0,173500.0,22.097114707952148,-7.614483493077739
65,123,103590,일진전기,절연선 및 케이블 제조업,3.1568,54400.0,66200.0,21.691176470588225,-19.070904645476773
66,116,018880,한온시스템,일반 목적용 기계 제조업,3.6997,2965.0,3605.0,21.585160202360875,-23.297872340425528
67,12,000270,기아,자동차용 엔진 및 자동차 제조업,57.5859,121800.0,147500.0,21.100164203612472,-11.570743405275774
68,152,003690,코리안리,재 보험업,2.4476,11540.0,13850.0,20.01733102253034,1.9882179675994038
69,66,005830,DB손해보험,보험업,10.205,131100.0,155800.0,18.840579710144922,5.128205128205132
70,68,003490,대한항공,항공 여객 운송업,9.8499,22550.0,26750.0,18.62527716186253,0.5639097744360999
71,166,282330,BGF리테일,종합 소매업,2.1363,104800.0,123600.0,17.938931297709914,-4.408352668213455
72,146,001720,신영증권,금융 지원 서비스업,2.5794,134100.0,156900.0,17.002237136465315,-16.096256684491983
73,176,020150,롯데에너지머티리얼즈,전자부품 제조업,1.8642,30550.0,35600.0,16.53027823240589,-36.991150442477874
74,50,018260,삼성에스디에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",15.4446,171500.0,199600.0,16.384839650145764,-15.780590717299582
75,74,039490,키움증권,금융 지원 서비스업,8.8127,289500.0,336000.0,16.0621761658031,-7.565337001375516
76,82,064400,LG씨엔에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",6.8886,61400.0,71100.0,15.798045602605871,-23.38362068965517
77,135,139130,iM금융지주,기타 금융업,2.8671,15550.0,17850.0,14.790996784565923,0.8474576271186418
78,83,000880,한화,기타 화학제품 제조업,6.5995,81600.0,93600.0,14.705882352941169,-19.51848667239897
79,196,001120,LX인터내셔널,상품 중개업,1.438,32500.0,37100.0,14.15384615384616,-7.365792759051182
80,112,052690,한전기술,"건축기술, 엔지니어링 및 관련 기술 서비스업",3.9061,90000.0,102200.0,13.555555555555564,-32.45208195637805
81,131,383220,F&F,봉제의복 제조업,2.9726,68500.0,77600.0,13.284671532846716,-9.662398137369033
82,172,008770,호텔신라,기타 상품 전문 소매업,1.9781,44600.0,50400.0,13.004484304932728,-9.189189189189184
83,94,138930,BNK금융지주,기타 금융업,5.5393,15870.0,17850.0,12.476370510396983,1.018675721561979
84,33,316140,우리금융지주,기타 금융업,22.8984,28000.0,31450.0,12.321428571428573,0.9630818619582593
85,22,267260,HD현대일렉트릭,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",30.6761,774000.0,851000.0,9.948320413436695,-24.69026548672566
86,198,415640,KB발해인프라,신탁업 및 집합투자업,1.3406,10020.0,10940.0,9.181636726546905,11.518858307849133
87,88,241560,두산밥캣,특수 목적용 기계 제조업,6.0293,57700.0,62900.0,9.012131715771222,-2.782071097372485
88,71,180640,한진칼,기타 금융업,8.9929,124000.0,134700.0,8.629032258064505,12.343619683069228
89,114,082740,한화엔진,일반 목적용 기계 제조업,3.8886,42950.0,46600.0,8.498253783469156,-13.543599257884974
90,113,002380,KCC,기타 화학제품 제조업,3.8969,420500.0,453500.0,7.84780023781213,-10.019841269841267
