ytd_rank_nonsemi,company_mcap_rank,ticker,name,industry,market_cap_trn,close_2025,close_latest,ytd_pct,ret_20d_pct
62,132,053800,안랩,소프트웨어 개발 및 공급업,0.6175,60100.0,55500.0,-7.65391014975042,-3.141361256544506
63,16,347850,디앤디파마텍,자연과학 및 공학 연구개발업,3.8641,91800.0,84300.0,-8.16993464052288,-3.657142857142859
64,55,058610,에스피지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1.6411,81300.0,74000.0,-8.979089790897909,-21.858500527983104
65,79,204270,제이앤티씨,전자부품 제조업,1.0303,19820.0,17810.0,-10.141271442986875,8.46528623629721
66,118,090360,로보스타,특수 목적용 기계 제조업,0.6991,80100.0,71700.0,-10.486891385767796,-36.660777385159015
67,189,119850,지엔씨에너지,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0.4548,30900.0,27650.0,-10.517799352750812,25.681818181818183
68,25,214150,클래시스,의료용 기기 제조업,3.1639,54500.0,48500.0,-11.009174311926609,10.352673492605224
69,38,226950,올릭스,자연과학 및 공학 연구개발업,2.5037,140400.0,123200.0,-12.250712250712247,6.944444444444442
70,182,015750,성우하이텍,자동차 신품 부품 제조업,0.476,6810.0,5950.0,-12.628487518355358,-13.89290882778582
71,163,060250,NHN KCP,금융 지원 서비스업,0.5185,14910.0,12910.0,-13.413816230717634,-14.162234042553193
72,198,101730,위메이드맥스,소프트웨어 개발 및 공급업,0.4433,6160.0,5290.0,-14.123376623376627,56.047197640117986
