date,ticker,name,market,close,eps_2026_like,eps_nexty,per_2026_like,per_headline_forward,eps_source,eps_fetched_at,data_source
2026-05-20,000660,SK hynix,KR,1745000.0,295485.0,,5.905545120733709,5.905545120733709,naver,2026-05-20T16:24:25,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-21,000660,SK hynix,KR,1940000.0,295733.0,,6.559971325486165,6.559971325486165,naver,2026-05-21T16:24:23,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-22,000660,SK hynix,KR,1941000.0,296287.0,,6.551080540151947,6.551080540151947,naver,2026-05-25T16:24:28,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-26,000660,SK hynix,KR,2052000.0,296287.0,,6.925717294380111,6.925717294380111,naver,2026-05-26T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-27,000660,SK hynix,KR,2243000.0,296550.0,,7.563648625864104,7.563648625864104,naver,2026-05-27T16:24:27,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-28,000660,SK hynix,KR,2289000.0,298475.0,,7.668984002010219,7.668984002010219,naver,2026-05-28T16:24:24,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-05-29,000660,SK hynix,KR,2333000.0,298495.0,,7.815876312836061,7.815876312836061,naver,2026-05-29T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-06-01,000660,SK hynix,KR,2363000.0,298954.0,,7.904226068224543,7.904226068224543,naver,2026-06-01T16:24:26,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-02,005930,Samsung Electronics,KR,128500.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-05,005930,Samsung Electronics,KR,138100.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-06,005930,Samsung Electronics,KR,138900.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-07,005930,Samsung Electronics,KR,141000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-08,005930,Samsung Electronics,KR,138800.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-09,005930,Samsung Electronics,KR,139000.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
2026-01-12,005930,Samsung Electronics,KR,138800.0,,,,,,,KR: prices_daily + consensus_daily FY2026; US: prices_daily + consensus_daily CURRENTY/NEXTY
